	Frame	x	y	z	
	0	194.5	141.5	0	
	1	196.203	145.594	0	
	2	202.375	151.434	0	
	3	210.098	156.258	0	
	4	214.188	157.039	0	
	5	215.613	153.41	0	
	6	218.492	147.738	0	
	7	225.453	142.137	0	
	8	235.453	138.574	0	
	9	245.453	139.184	0	
	10	260.953	144.273	0	
	11	271.953	149.805	0	
	12	282.953	155.047	0	
	13	294.453	159.289	0	
	14	313.953	164.883	0	
	15	324.953	169.637	0	
	16	339.453	174.148	0	
	17	349.453	178.391	0	
	18	359.453	180.891	0	
	19	368.805	180.516	0	
	20	376.684	176.832	0	
	21	383.879	170.332	0	
	22	390.547	164.746	0	
	23	396.633	161.918	0	
	24	402.051	160.594	0	
	25	406.867	160.371	0	
	26	411.621	161.273	0	
	27	417.879	162.773	0	
	28	418.766	163.066	0	
	29	411.789	161.359	0	
	30	394.527	157.676	0	
	31	374.527	154.559	0	
	32	346.527	150.77	0	
	33	328.027	149.363	0	
	34	312.672	149.5	0	
	35	300.461	150	0	
	36	290.895	152.422	0	
	37	284.191	157.922	0	
	38	280.738	165.902	0	
	39	278.68	175.391	0	
	40	277.164	184.66	0	
	41	275.715	191.398	0	
	42	274.195	193.234	0	
	43	272.648	189.648	0	
	44	270.512	181.535	0	
	45	268.641	171.473	0	
	46	267.504	163.352	0	
	47	267.883	159.754	0	
	48	269.383	161.48	0	
	49	271.098	167.898	0	
	50	273.316	178.891	0	
	51	275.793	192.891	0	
	52	280.48	215.156	0	
	53	287.691	232.238	0	
	54	297.191	243.809	0	
	55	306.703	243.309	0	
	56	317.008	230.309	0	
	57	327.508	209.809	0	
	58	339.504	194.309	0	
	59	349.234	184.633	0	
	60	355.023	181.266	0	
	61	357.359	180.656	0	
	62	357.949	183.223	0	
	63	358.734	191.312	0	
	64	361.234	203.492	0	
	65	365.805	216.176	0	
	66	371.961	226.461	0	
	67	378.098	231.672	0	
	68	382.668	229.527	0	
	69	387.797	218.273	0	
	70	396.316	205.273	0	
	71	397.77	187.773	0	
