	Frame	rotation	
	0	-1.43455	
	1	-0.420828	
	2	1.73419	
	3	2.90339	
	4	0.97728	
	5	-3.61587	
	6	-8.21901	
	7	-10.8401	
	8	-10.9395	
	9	-9.79008	
	10	-9.10733	
	11	-9.16088	
	12	-9.12681	
	13	-6.51496	
	14	-7.25786	
	15	-5.86974	
	16	-5.36749	
	17	-4.76366	
	18	-4.36646	
	19	-4.31147	
	20	-4.60652	
	21	-4.63731	
	22	-4.19414	
	23	-2.73744	
	24	0.0262713	
	25	3.40305	
	26	7.83322	
	27	13.11	
	28	17.4881	
	29	18.4476	
	30	13.3679	
	31	14.6043	
	32	11.0995	
	33	9.43809	
	34	7.92378	
	35	7.11949	
	36	6.42252	
	37	5.3638	
	38	3.97224	
	39	2.50849	
	40	1.75754	
	41	1.57668	
	42	2.14971	
	43	3.10465	
	44	3.99188	
	45	4.75107	
	46	5.23557	
	47	5.27218	
	48	4.96703	
	49	4.33061	
	50	2.44098	
	51	1.1056	
	52	-3.26196	
	53	-3.62874	
	54	-4.10805	
	55	-3.88041	
	56	-3.19528	
	57	-0.447712	
	58	0.914962	
	59	3.10925	
	60	4.13979	
	61	2.22116	
	62	0.850376	
	63	-0.985623	
	64	-2.65219	
	65	-3.98135	
	66	-5.11795	
	67	-5.76286	
	68	-6.37466	
	69	-6.70161	
	70	-8.09529	
	71	-4.35106	
	72	-2.09061	
	73	0.0074526	
	74	0.756229	
	75	-0.931885	
	76	-4.38653	
	77	-8.08453	
	78	-11.9287	
	79	-14.5658	
	80	-15.0648	
	81	-13.4957	
	82	-11.3424	
	83	-9.75404	
	84	-8.21762	
	85	-6.47982	
	86	-4.65533	
	87	-2.78243	
	88	-1.34962	
	89	-0.0434001	
	90	0.125212	
	91	-0.96684	
	92	-2.71879	
	93	-4.96602	
	94	-7.37464	
	95	-9.1977	
	96	-10.5199	
	97	-11.1871	
	98	-11.7067	
	99	-10.6302	
	100	-8.45618	
	101	-6.30893	
	102	-4.9186	
	103	-6.38259	
	104	-10.1434	
	105	-14.1677	
	106	-19.3579	
	107	-22.0092	
	108	-22.034	
	109	-22.3368	
	110	-22.4591	
	111	-22.1319	
	112	-20.8944	
	113	-20.0152	
	114	-20.3434	
	115	-21.25	
	116	-22.9697	
	117	-25.3293	
	118	-26.8015	
	119	-26.4466	
	120	-24.0181	
	121	-20.6083	
	122	-16.9655	
	123	-15.6216	
	124	-12.9232	
	125	-11.7914	
	126	-12.0236	
	127	-13.9662	
	128	-11.9337	
	129	-11.9356	
	130	-11.8405	
	131	-12.084	
	132	-12.3505	
	133	-12.3845	
	134	-12.4373	
	135	-12.1149	
	136	-11.4708	
	137	-10.7143	
	138	-10.1877	
	139	-9.69939	
	140	-10.6735	
	141	-11.7449	
	142	-13.1941	
	143	-14.3162	
	144	-15.0168	
	145	-15.0229	
	146	-14.3817	
	147	-13.1228	
	148	-11.48	
	149	-10.7713	
	150	-9.69204	
	151	-7.85728	
	152	-4.96434	
	153	0.206031	
	154	6.8037	
	155	12.5472	
	156	18.4974	
	157	21.8029	
	158	21.8869	
	159	19.3914	
	160	17.9143	
	161	16.5566	
	162	15.4041	
	163	14.7155	
	164	14.2306	
	165	13.8143	
	166	14.0436	
	167	16.5354	
	168	17.9498	
	169	19.1553	
	170	21.7269	
	171	23.3403	
	172	24.1995	
	173	23.8248	
	174	22.0958	
	175	20.0979	
	176	19.0709	
	177	19.0423	
	178	18.2862	
	179	20.0218	
	180	19.7462	
	181	18.9993	
	182	18.2574	
	183	17.4572	
	184	16.7245	
	185	16.1576	
	186	15.7761	
	187	15.9027	
	188	16.2272	
	189	16.5439	
	190	16.3563	
	191	15.2791	
	192	13.4478	
	193	10.2375	
	194	5.88439	
	195	1.23991	
	196	-2.89081	
	197	-5.96082	
	198	-7.50194	
	199	-8.64942	
	200	-9.72485	
	201	-10.3234	
	202	-9.96327	
	203	-8.84096	
	204	-7.86845	
	205	-7.07918	
	206	-6.30268	
	207	-3.23691	
	208	-1.30261	
	209	0.930094	
	210	-0.163464	
	211	0.530343	
	212	17.7059	
	213	96.6934	
	214	96.6934	
	215	96.6934	
	216	96.6934	
	217	96.6934	
	218	96.6934	
	219	96.6934	
	220	96.6934	
	221	96.6934	
	222	96.6934	
	223	96.6934	
	224	96.6934	
	225	96.6934	
	226	96.6934	
	227	96.6934	
	228	96.6934	
	229	96.6934	
	230	96.6934	
	231	96.6934	
	232	96.6934	
	233	96.6934	
	234	96.6934	
	235	96.6934	
	236	96.6934	
	237	96.6934	
	238	96.6934	
	239	96.6934	
	240	96.6934	
	241	96.6934	
	242	96.6934	
	243	96.6934	
	244	96.6934	
	245	96.6934	
	246	96.6934	
	247	96.6934	
	248	96.6934	
	249	96.6934	
	250	96.6934	
	251	96.6934	
	252	96.6934	
	253	96.6934	
	254	96.6934	
	255	96.6934	
	256	96.6934	
	257	96.6934	
