	Frame	x	y	z	
	0	100	100	100	
	1	101.185	101.185	100	
	2	101.794	101.794	100	
	3	101.766	101.766	100	
	4	102.056	102.056	100	
	5	103.15	103.15	100	
	6	103.976	103.976	100	
	7	104.821	104.821	100	
	8	107.662	107.662	100	
	9	109.98	109.98	100	
	10	113.892	113.892	100	
	11	113.912	113.912	100	
	12	113.899	113.899	100	
	13	128.232	128.232	100	
	14	104.968	104.968	100	
	15	104.619	104.619	100	
	16	114.147	114.147	100	
	17	116.77	116.77	100	
	18	119.258	119.258	100	
	19	120.515	120.515	100	
	20	122.688	122.688	100	
	21	124.66	124.66	100	
	22	126.685	126.685	100	
	23	127.588	127.588	100	
	24	127.959	127.959	100	
	25	127.715	127.715	100	
	26	125.646	125.646	100	
	27	117.596	117.596	100	
	28	115.228	115.228	100	
	29	115.897	115.897	100	
	30	137.287	137.287	100	
	31	118.751	118.751	100	
	32	134.944	134.944	100	
	33	139.67	139.67	100	
	34	144.195	144.195	100	
	35	148.238	148.238	100	
	36	151.421	151.421	100	
	37	154.325	154.325	100	
	38	156.481	156.481	100	
	39	160.001	160.001	100	
	40	152.736	152.736	100	
	41	155.32	155.32	100	
	42	158.261	158.261	100	
	43	161.46	161.46	100	
	44	165.691	165.691	100	
	45	169.297	169.297	100	
	46	173.317	173.317	100	
	47	177.125	177.125	100	
	48	181.064	181.064	100	
	49	185.936	185.936	100	
	50	191.06	191.06	100	
	51	199.178	199.178	100	
	52	208.181	208.181	100	
	53	210.207	210.207	100	
	54	217.421	217.421	100	
	55	227.54	227.54	100	
	56	236.385	236.385	100	
	57	244.031	244.031	100	
	58	248.018	248.018	100	
	59	251.751	251.751	100	
	60	256.687	256.687	100	
	61	251.084	251.084	100	
	62	252.357	252.357	100	
	63	252.411	252.411	100	
	64	251.32	251.32	100	
	65	250.812	250.812	100	
	66	247.932	247.932	100	
	67	245.559	245.559	100	
	68	244.081	244.081	100	
	69	243.916	243.916	100	
	70	234.194	234.194	100	
	71	230.46	230.46	100	
	72	228.414	228.414	100	
	73	225.536	225.536	100	
	74	222.275	222.275	100	
	75	218.863	218.863	100	
	76	216.066	216.066	100	
	77	213.811	213.811	100	
	78	210.509	210.509	100	
	79	208.413	208.413	100	
	80	209.662	209.662	100	
	81	211.723	211.723	100	
	82	212.765	212.765	100	
	83	216.362	216.362	100	
	84	218.748	218.748	100	
	85	219.498	219.498	100	
	86	221.714	221.714	100	
	87	223.048	223.048	100	
	88	225.868	225.868	100	
	89	232.372	232.372	100	
	90	237.155	237.155	100	
	91	238.19	238.19	100	
	92	238.984	238.984	100	
	93	238.868	238.868	100	
	94	237.391	237.391	100	
	95	236.186	236.186	100	
	96	233.8	233.8	100	
	97	231.291	231.291	100	
	98	230.864	230.864	100	
	99	232.481	232.481	100	
	100	236.369	236.369	100	
	101	238.322	238.322	100	
	102	240.363	240.363	100	
	103	235.237	235.237	100	
	104	220.048	220.048	100	
	105	230.794	230.794	100	
	106	210.459	210.459	100	
	107	208.81	208.81	100	
	108	227.724	227.724	100	
	109	224.637	224.637	100	
	110	220.523	220.523	100	
	111	215.977	215.977	100	
	112	209.89	209.89	100	
	113	203.7	203.7	100	
	114	199.284	199.284	100	
	115	192.491	192.491	100	
	116	185.008	185.008	100	
	117	182.841	182.841	100	
	118	175.695	175.695	100	
	119	168.284	168.284	100	
	120	161.397	161.397	100	
	121	156.538	156.538	100	
	122	151.894	151.894	100	
	123	154.554	154.554	100	
	124	149.919	149.919	100	
	125	146.31	146.31	100	
	126	143.547	143.547	100	
	127	148.975	148.975	100	
	128	143.227	143.227	100	
	129	140.735	140.735	100	
	130	138.921	138.921	100	
	131	138.718	138.718	100	
