	frame	x	y	z	
	0	314.129	241.707	0	
	1	314.129	241.707	0	
	2	314.129	241.707	0	
	3	314.129	241.707	0	
	4	315.319	250.78	0	
	5	318.131	267.913	0	
	6	320.817	283.616	0	
	7	322.775	295.201	0	
	8	327.924	296.042	0	
	9	334.309	286.571	0	
	10	341.444	271.17	0	
	11	342.793	256.399	0	
	12	341.483	241.396	0	
	13	336.263	244.436	0	
	14	336.075	243.558	0	
	15	332.911	250.693	0	
	16	332.704	258.561	0	
	17	332.723	270.592	0	
	18	330.554	283.19	0	
	19	327.877	299.131	0	
	20	328.845	312.776	0	
	21	331.291	316.262	0	
	22	332.543	311.316	0	
	23	334.813	299.377	0	
	24	337.89	282.379	0	
	25	336.47	266.526	0	
	26	333.937	252.803	0	
	27	325.771	239.822	0	
	28	306.939	238.422	0	
	29	297.585	234.146	0	
	30	298.96	229.336	0	
	31	303.408	240.247	0	
	32	313.382	256.221	0	
	33	330	295	0	
	34	322.284	281.489	0	
	35	322.272	284.817	0	
	36	322.96	278.166	0	
	37	322.423	262.308	0	
	38	321.559	245.582	0	
	39	319.975	231.901	0	
	40	319.035	223.126	0	
	41	316.584	219.067	0	
	42	315.099	222.62	0	
	43	314.238	232.542	0	
	44	313.2	247.339	0	
	45	311.093	266.26	0	
	46	311.612	284.078	0	
	47	312.156	296.261	0	
	48	311.085	302.178	0	
	49	308.339	299.56	0	
	50	307.298	270	0	
	51	308.455	275	0	
	52	309.959	265	0	
	53	311.562	260.227	0	
	54	314.981	257.175	0	
	55	318.351	258.147	0	
	56	321.726	262.985	0	
	57	325.791	272.302	0	
	58	330.371	285.257	0	
	59	333.904	298.904	0	
	60	337.522	311.471	0	
	61	339.842	321.924	0	
	62	340.809	328.453	0	
	63	342.088	327.017	0	
	64	344.035	319.987	0	
	65	345.651	308.529	0	
	66	347.574	294.091	0	
	67	349.014	277.335	0	
	68	350.431	263.576	0	
	69	351.828	256.354	0	
	70	352.392	255.718	0	
	71	352.91	259.467	0	
	72	352.836	268.003	0	
	73	353.462	280.555	0	
	74	358.335	296.071	0	
	75	371.414	307.006	0	
	76	390.91	312.222	0	
	77	408.319	316.989	0	
	78	XX	321.853	0	
	79	XX	333.633	0	
	80	XX	343.236	0	
	81	XX	342.26	0	
	82	XX	340.684	0	
	83	XX	339.106	0	
	84	XX	337.526	0	
	85	XX	335.944	0	
	86	XX	334.361	0	
	87	XX	332.783	0	
	88	XX	331.205	0	
	89	XX	329.625	0	
	90	XX	328.045	0	
	91	XX	326.464	0	
	92	XX	324.886	0	
	93	XX	323.306	0	
	94	XX	321.726	0	
	95	XX	320.145	0	
	96	XX	318.568	0	
	97	375.408	316.989	0	
	98	372.486	315.409	0	
	99	369.561	313.826	0	
	100	366.642	312.246	0	
	101	363.722	310.666	0	
	102	360.801	309.086	0	
	103	357.888	307.509	0	
	104	355.103	305.625	0	
	105	353.484	309.866	0	
	106	354.796	317.168	0	
	107	358.214	316.822	0	
	108	361.896	308.128	0	
	109	365.65	293.773	0	
	110	369.412	276.033	0	
	111	371.802	257.172	0	
	112	373.165	239.476	0	
	113	375.804	237.101	0	
	114	374.89	242.59	0	
	115	373.974	250.47	0	
	116	370.898	263.845	0	
	117	369.069	280.927	0	
	118	366.209	297.1	0	
	119	363.499	309.578	0	
	120	360.499	319.418	0	
	121	358.105	321.795	0	
	122	355.828	320.621	0	
	123	353.873	316.773	0	
	124	351.534	311.092	0	
	125	349.769	304.21	0	
	126	348.338	297.594	0	
	127	347.31	291.912	0	
	128	347.08	288.053	0	
	129	347.588	287.015	0	
	130	348.269	288.623	0	
	131	349.547	292.127	0	
