	frame	rotation	
	0	-83.2464	
	1	-83.2464	
	2	-83.2464	
	3	-86.3239	
	4	-91.1547	
	5	-92.7281	
	6	-98.3966	
	7	-85	
	8	-85	
	9	-85	
	10	-88	
	11	-88	
	12	-88	
	13	-91.9877	
	14	-91.1171	
	15	-88.6086	
	16	-88.7575	
	17	-90.4173	
	18	-94.4934	
	19	-94.7853	
	20	-98.2914	
	21	-103.195	
	22	-106.036	
	23	-107.433	
	24	-108.417	
	25	-107.589	
	26	-108.837	
	27	-109.9	
	28	-107.094	
	29	-113.775	
	30	-130.337	
	31	-137.474	
	32	-129.389	
	33	-95	
	34	-80	
	35	-80	
	36	-87.9013	
	37	-90	
	38	-90	
	39	-99.8995	
	40	-85	
	41	-100.428	
	42	-100.535	
	43	-100.43	
	44	-99.1752	
	45	-96.513	
	46	-93.9782	
	47	-89.0946	
	48	-89.5025	
	49	-91.1086	
	50	-85	
	51	-85	
	52	-85	
	53	-92.1757	
	54	-92.4799	
	55	-93.6315	
	56	-94.3084	
	57	-94.0431	
	58	-94.1025	
	59	-93.3182	
	60	-92.2442	
	61	-90.1897	
	62	-88.6365	
	63	-88.0865	
	64	-88.5434	
	65	-88.8327	
	66	-89.1934	
	67	-90.0679	
	68	-90.7413	
	69	-91.1897	
	70	-91.4769	
	71	-92.4552	
	72	-93.8795	
	73	-95.4046	
	74	-92.0787	
	75	-94.3064	
	76	-102.481	
	77	-90	
	78	-100.87	
	79	-89.6009	
	80	-93.2263	
	81	-93.9197	
	82	-94.437	
	83	-94.9541	
	84	-95.4716	
	85	-95.989	
	86	-96.5065	
	87	-97.0234	
	88	-97.5409	
	89	-98.0584	
	90	-98.5759	
	91	-99.0933	
	92	-99.6103	
	93	-100.128	
	94	-100.645	
	95	-101.163	
	96	-101.68	
	97	-102.197	
	98	-102.715	
	99	-103.232	
	100	-103.749	
	101	-104.266	
	102	-104.784	
	103	-105.301	
	104	-105.889	
	105	-104.694	
	106	-102.387	
	107	-101.736	
	108	-101.801	
	109	-101.251	
	110	-101.005	
	111	-101.251	
	112	-101.426	
	113	-101.388	
	114	-98.4999	
	115	-95.8516	
	116	-98.5561	
	117	-99.3337	
	118	-97.7061	
	119	-94.1914	
	120	-94.0329	
	121	-95.0297	
	122	-95.7729	
	123	-96.3333	
	124	-96.171	
	125	-95.6369	
	126	-95.1702	
	127	-94.6122	
	128	-93.6971	
	129	-91.575	
	130	-90.0059	
	131	-90.8778	
	132	-92.7955	
	133	-92.9197	
	134	-93.5063	
	135	-93.9886	
	136	-93.8256	
	137	-91.6008	
	138	-87.9207	
	139	-91.6113	
	140	-96.1318	
	141	-95.7731	
	142	-94.8683	
	143	-94.677	
	144	-94.7024	
	145	-94.7179	
	146	-94.7334	
	147	-94.7489	
	148	-94.7644	
	149	-94.7799	
	150	-94.7954	
	151	-94.8109	
	152	-94.8264	
	153	-94.8419	
	154	-94.8574	
	155	-94.8729	
	156	-94.8884	
	157	-94.9039	
	158	-94.9194	
	159	-94.9349	
	160	-94.9504	
	161	-94.9659	
	162	-94.9814	
	163	-94.9969	
	164	-95.0125	
	165	-95.028	
	166	-95.0435	
	167	-95.059	
	168	-95.0745	
	169	-95.09	
	170	-95.1055	
	171	-95.121	
	172	-95.1365	
	173	-95.152	
	174	-95.1675	
	175	-95.183	
	176	-95.1985	
	177	-95.214	
	178	-95.2295	
	179	-95.245	
	180	-95.2605	
	181	-95.276	
	182	-95.2915	
	183	-95.3071	
	184	-95.3226	
	185	-95.3381	
	186	-95.3536	
	187	-95.3691	
	188	-95.3846	
	189	-95.4001	
	190	-95.4156	
	191	-95.4311	
	192	-95.4466	
	193	-95.4621	
	194	-95.4776	
	195	-95.4931	
	196	-95.5086	
	197	-95.7083	
	198	-97.7766	
	199	-98.5843	
	200	-96.6252	
	201	-93.7834	
	202	-90.3852	
	203	-85.291	
	204	-89.3436	
	205	-96.3835	
	206	-88.9831	
	207	-76.296	
	208	-71.4512	
	209	-80.5967	
	210	-88.897	
	211	-88.4485	
	212	-86.9803	
	213	-89.1104	
	214	-96.9926	
	215	-104.362	
	216	-103.805	
	217	-101.915	
	218	-100.587	
	219	-100.665	
	220	-101.021	
	221	-101.225	
	222	-102.232	
	223	-103.119	
	224	-103.74	
	225	-104.574	
	226	-104.346	
	227	-103.552	
	228	-102.505	
	229	-101.101	
	230	-99.8641	
	231	-98.5846	
	232	-97.6503	
	233	-97.3876	
	234	-96.9609	
	235	-97.4092	
	236	-95.4839	
	237	-86.4979	
	238	-101.357	
	239	-105.444	
	240	-107.756	
	241	-109.277	
	242	-110.752	
	243	-114.046	
